Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
M1,M3-C-3.5,4mm,-4mm,4mm,-4mm,4mm,-4mm,T,0,M3
C1,0603-C,89.916mm,-35.4267mm,89.916mm,-35.433mm,89.916mm,-36.2077mm,B,90,Cap
C2,0603-C,89.916mm,-32.6454mm,89.916mm,-32.639mm,89.916mm,-31.8643mm,B,270,Cap
C3,0603-C,110.236mm,-36.3156mm,110.236mm,-36.322mm,110.236mm,-37.0967mm,B,90,Cap
C4,0603-C,93.3513mm,-38.1mm,93.345mm,-38.1mm,92.5703mm,-38.1mm,B,360,Cap
C5,0603-C,102.489mm,-35.6807mm,102.489mm,-35.687mm,102.489mm,-36.4617mm,B,90,Cap
C6,0603-C,99.6886mm,-25.781mm,99.695mm,-25.781mm,100.4697mm,-25.781mm,B,180,Cap
C7,0603-C,88.8936mm,-29.972mm,88.9mm,-29.972mm,89.6747mm,-29.972mm,B,180,Cap
C8,0603-C,90.5447mm,-38.1mm,90.551mm,-38.1mm,91.3257mm,-38.1mm,B,180,Cap
C9,1206-C,90.9319mm,-17.7571mm,90.932mm,-17.757mm,90.9319mm,-19.1571mm,B,90,Cap
C10,0603-C,92.71mm,-18.6396mm,92.71mm,-18.646mm,92.71mm,-19.4207mm,B,90,Cap
C11,1206-C,101.6001mm,-15.4709mm,101.6mm,-15.471mm,101.6001mm,-14.0709mm,B,270,Cap
C12,0603-C,99.822mm,-14.4613mm,99.822mm,-14.455mm,99.822mm,-13.6803mm,B,270,Cap
C13,0603-C,88.392mm,-19.2747mm,88.392mm,-19.281mm,88.392mm,-20.0557mm,B,90,Cap
C14,0603-C,75.184mm,-36.6966mm,75.184mm,-36.703mm,75.184mm,-37.4777mm,B,90,Cap
C15,1206-C,77.7239mm,-48.8949mm,77.724mm,-48.895mm,76.3239mm,-48.8949mm,B,360,High-Volt Cap
C16,C-F-C3,36.195mm,-61.087mm,36.195mm,-61.087mm,36.195mm,-56.087mm,T,270,FILM Cap
C17,C-E-ALU-10X16,56.642mm,-61.341mm,56.642mm,-61.341mm,56.642mm,-63.841mm,T,90,ECap
C18,C-E-ALU-6.3X11.5,106.807mm,-63.373mm,106.807mm,-63.373mm,106.807mm,-64.623mm,T,90,ECap
C19,C-E-ALU-6.3X11.5,110.744mm,-57.658mm,110.744mm,-57.658mm,110.744mm,-58.908mm,T,90,ECap
C20,C-E-ALU-6.3X11.5,106.807mm,-51.943mm,106.807mm,-51.943mm,106.807mm,-53.193mm,T,90,ECap
C21,C-E-ALU-5X11,64.389mm,-59.055mm,64.389mm,-59.055mm,65.389mm,-59.055mm,T,180,ECap
C22,0603-C,70.8597mm,-62.865mm,70.866mm,-62.865mm,71.6407mm,-62.865mm,B,180,Cap
C23,0603-C,98.933mm,-68.0657mm,98.933mm,-68.072mm,98.933mm,-68.8467mm,B,90,Cap
C24,0603-C,114.1793mm,-39.878mm,114.173mm,-39.878mm,113.3983mm,-39.878mm,B,360,Cap
C25,1206-C,114.4269mm,-41.6559mm,114.427mm,-41.656mm,113.0269mm,-41.6559mm,B,360,Cap
C26,0603-C,115.0557mm,-52.705mm,115.062mm,-52.705mm,115.8367mm,-52.705mm,B,180,Cap
C27,0603-C,49.022mm,-32.2516mm,49.022mm,-32.258mm,49.022mm,-33.0327mm,B,90,Cap
C28,0603-C,61.4744mm,-32.766mm,61.468mm,-32.766mm,60.6933mm,-32.766mm,B,360,Cap
C29,0603-C,50.673mm,-27.9337mm,50.673mm,-27.94mm,50.673mm,-28.7147mm,B,90,Cap
C30,0603-C,51.4286mm,-32.766mm,51.435mm,-32.766mm,52.2097mm,-32.766mm,B,180,Cap
C31,0603-C,61.8426mm,-24.511mm,61.849mm,-24.511mm,62.6237mm,-24.511mm,B,180,Cap
C32,0603-C,58.928mm,-24.8984mm,58.928mm,-24.892mm,58.928mm,-24.1173mm,B,270,Cap
C33,0603-C,64.6367mm,-31.242mm,64.643mm,-31.242mm,65.4177mm,-31.242mm,B,180,Cap
D1,0805-LED-Y,105mm,-45mm,105mm,-45mm,106.008mm,-45mm,B,180,LED YELLOW
D2,0805-LED-G,105mm,-35mm,105mm,-35mm,106.008mm,-35mm,B,180,LED GREEN
D3,0805-LED-R,105mm,-25mm,105mm,-25mm,106.008mm,-25mm,B,180,LED RED
